Iteration,Cohort,Sex,AFR
72,7,F,9.01800592290837
73,7,F,9.20224625877012
74,7,F,8.90731622349435
75,7,F,8.69871452260894
76,7,F,9.33025564028983
77,7,F,9.10385958086726
78,7,F,8.9911513483697
79,7,F,8.88107932593709
80,7,F,9.07652076813819
81,7,F,8.71890074827006
82,7,F,8.77785963932237
83,7,F,8.90842165490482
84,7,F,8.79187183547755
85,7,F,9.25255940796266
86,7,F,8.69094424406808
87,7,F,8.96057158298084
88,7,F,8.84755526681401
89,7,F,8.75609758709867
90,7,F,8.67492669416363
91,7,F,8.75644887463473
92,7,F,8.86714068122054
93,7,F,8.67373000343497
94,7,F,9.1300587818407
95,7,F,9.19999816705717
96,7,F,8.81272160318977
97,7,F,8.8184763476208
98,7,F,8.61595483205248
99,7,F,8.72912538212121
100,7,F,8.87225402016499
1,8,F,9.65063227489469
2,8,F,8.97306460603187
3,8,F,9.27030025338155
4,8,F,9.2424463860874
5,8,F,9.23763056999538
6,8,F,9.07701128457538
7,8,F,9.35109561127698
8,8,F,9.53801293646141
9,8,F,9.27313919961061
10,8,F,9.17023385627061
11,8,F,9.0971294384582
12,8,F,9.28918962437329
13,8,F,8.97546532167743
14,8,F,9.00383031451127
15,8,F,8.96265541385886
16,8,F,9.35353065977495
17,8,F,8.93025594422893
18,8,F,9.19987734739312
19,8,F,9.19822512190248
20,8,F,9.33997499333098
21,8,F,8.93043187003546
22,8,F,9.17895784398971
23,8,F,9.2960858233595
24,8,F,9.06194566534218
25,8,F,9.20592300371421
26,8,F,9.04488049682013
27,8,F,8.90568739369781
28,8,F,9.23996048472277
29,8,F,8.94038472561295
30,8,F,9.16738235214098
31,8,F,9.41333754241231
32,8,F,8.84031289518328
33,8,F,9.34960957948045
34,8,F,9.14236615082433
35,8,F,9.34692478057711
36,8,F,9.35631267985643
37,8,F,9.20184020572299
38,8,F,9.3306238527985
39,8,F,9.35538558995927
40,8,F,9.49943883925627
41,8,F,9.00838183966064
42,8,F,9.46178993325727
43,8,F,9.10841200461605
44,8,F,9.02132924065317
45,8,F,9.23260947613378
46,8,F,8.98916930984128
47,8,F,9.24498565684203
48,8,F,9.26667324191667
49,8,F,8.92041081781428
50,8,F,9.47333231120386
51,8,F,9.11327980231296
52,8,F,9.07102866573105
53,8,F,9.03471363556396
54,8,F,8.96765608089185
55,8,F,8.63829593914264
56,8,F,8.98366422603736
57,8,F,9.39094032314781
58,8,F,9.17935619254975
59,8,F,9.42941069042252
60,8,F,8.98056377248104
61,8,F,9.26015477101023
62,8,F,9.07599634942193
63,8,F,9.51813378792473
64,8,F,9.27265651389816
65,8,F,8.96261754126534
66,8,F,9.23022945888335
67,8,F,9.48091151093744
68,8,F,9.25404640911734
69,8,F,8.95654059960605
70,8,F,9.12548135009228
71,8,F,9.16450696103573
72,8,F,8.7973338550722
73,8,F,9.32563279208983
74,8,F,9.20897744790009
75,8,F,9.41881267308456
76,8,F,9.31800630114778
77,8,F,9.24576569575352
78,8,F,9.02997189194854
79,8,F,8.96071773989005
80,8,F,9.30026690569054
81,8,F,9.14639178493233
82,8,F,9.19767259783217
83,8,F,9.12945286262195
84,8,F,9.38513432315914
85,8,F,9.39397830787029
86,8,F,9.6333249199877
87,8,F,9.22080995166834
88,8,F,9.13284663840331
89,8,F,9.43933069865584
90,8,F,9.28801751099805
91,8,F,8.98953541712445
92,8,F,9.0041025881613
93,8,F,9.22398368443128
94,8,F,9.13044540672962
